iter	Passed	Remaining
419	2301	5919
420	2307	5912
421	2312	5906
422	2317	5899
423	2322	5894
424	2325	5881
425	2330	5875
426	2336	5870
427	2341	5864
428	2346	5858
429	2351	5851
430	2356	5845
431	2362	5840
432	2367	5834
433	2372	5827
434	2377	5820
435	2382	5815
436	2386	5804
437	2389	5792
438	2394	5787
439	2399	5781
440	2404	5775
441	2409	5768
442	2414	5759
443	2419	5753
444	2424	5748
445	2429	5742
446	2433	5732
447	2438	5726
448	2443	5719
449	2448	5713
450	2453	5706
451	2458	5700
452	2463	5694
453	2469	5688
454	2473	5681
455	2479	5675
456	2484	5669
457	2489	5663
458	2494	5657
459	2499	5651
460	2505	5645
461	2510	5640
462	2515	5634
463	2520	5627
464	2525	5622
465	2530	5615
466	2536	5609
467	2540	5602
468	2546	5597
469	2550	5588
470	2555	5582
471	2560	5576
472	2565	5570
473	2570	5563
474	2575	5558
475	2581	5553
476	2586	5548
477	2592	5541
478	2597	5536
479	2602	5530
480	2607	5524
481	2613	5518
482	2618	5512
483	2623	5506
484	2628	5500
485	2633	5494
486	2638	5488
487	2643	5482
488	2648	5476
489	2654	5470
490	2659	5464
491	2664	5458
492	2669	5452
493	2674	5447
494	2680	5441
495	2685	5435
496	2690	5428
497	2695	5423
498	2700	5417
499	2705	5411
500	2710	5405
501	2715	5398
502	2720	5392
503	2725	5386
504	2730	5380
505	2736	5374
506	2741	5368
507	2746	5362
508	2751	5356
509	2756	5350
510	2761	5344
511	2766	5339
512	2772	5333
513	2777	5327
514	2782	5321
515	2787	5314
516	2792	5309
517	2797	5303
518	2802	5297
519	2807	5291
520	2812	5285
521	2818	5279
522	2823	5274
523	2828	5268
524	2833	5262
525	2838	5256
526	2843	5250
527	2848	5244
528	2853	5238
529	2859	5232
530	2864	5226
531	2869	5220
532	2874	5214
533	2879	5208
534	2884	5202
535	2889	5197
536	2894	5191
537	2900	5185
538	2905	5179
539	2910	5173
540	2915	5168
541	2920	5162
542	2925	5156
543	2931	5150
544	2936	5144
545	2941	5139
546	2947	5134
547	2952	5128
548	2957	5122
549	2963	5118
550	2968	5112
551	2973	5107
552	2979	5101
553	2984	5095
554	2989	5090
555	2994	5084
556	2999	5078
557	3005	5073
558	3010	5067
559	3015	5061
560	3020	5055
561	3024	5047
562	3029	5041
563	3034	5035
564	3039	5030
565	3044	5024
566	3049	5018
567	3054	5012
568	3060	5007
569	3065	5001
570	3071	4996
571	3076	4990
572	3081	4985
573	3086	4979
574	3092	4974
575	3097	4968
576	3102	4963
577	3108	4957
578	3113	4952
579	3118	4946
580	3122	4938
581	3127	4932
582	3132	4927
583	3137	4921
584	3142	4915
585	3148	4910
586	3153	4904
587	3158	4898
588	3163	4892
589	3168	4886
590	3173	4881
591	3178	4875
592	3183	4869
593	3188	4863
594	3193	4856
595	3198	4850
596	3203	4845
597	3208	4839
598	3213	4833
599	3218	4828
600	3224	4822
601	3229	4816
602	3234	4811
603	3239	4805
604	3244	4800
605	3250	4794
606	3255	4789
607	3260	4783
608	3265	4778
609	3270	4772
610	3276	4766
611	3281	4761
612	3286	4755
613	3291	4750
614	3297	4744
615	3302	4738
616	3307	4733
617	3313	4728
618	3318	4723
619	3323	4717
620	3329	4712
621	3334	4706
622	3339	4701
623	3344	4695
624	3349	4689
625	3354	4683
626	3359	4678
627	3365	4672
628	3370	4667
629	3375	4661
630	3381	4656
631	3386	4650
632	3391	4644
633	3396	4639
634	3401	4633
635	3406	4627
636	3411	4621
637	3416	4615
638	3421	4610
639	3426	4604
640	3431	4598
641	3436	4592
642	3441	4587
643	3446	4581
644	3451	4575
645	3456	4569
646	3461	4564
647	3467	4558
648	3472	4552
649	3477	4547
650	3482	4541
651	3487	4536
652	3492	4530
653	3497	4524
654	3502	4518
655	3507	4512
656	3512	4507
657	3515	4498
658	3520	4492
659	3525	4487
660	3530	4481
661	3536	4476
662	3539	4467
663	3544	4462
664	3549	4457
665	3555	4452
666	3560	4447
667	3566	4441
668	3571	4435
669	3576	4430
670	3581	4424
671	3586	4419
672	3591	4413
673	3596	4407
674	3601	4402
675	3605	4394
676	3610	4388
677	3615	4383
678	3620	4378
