date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes;date_debut
2023-03-10;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;8.4;2023-03-10
2023-03-15;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;15.6;2023-03-15
2023-03-19;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;8.0;2023-03-19
2023-03-21;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;3.6;2023-03-21
2023-04-06;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;16.6;2023-04-06
2023-04-20;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;8.5;2023-04-20
2018-02-08;;Manif à Paris - annulée / Politique d'entreprise;CGT régionaux;;;;6.8;2018-02-08
2018-04-04;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;29.8;2018-04-04
2018-04-14;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;36.1;2018-04-14
2018-05-13;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;26.0;2018-05-13
2018-05-23;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;14.2;2018-05-23
2018-05-28;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;14.0;2018-05-28
2018-06-17;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;20.6;2018-06-17
2018-12-14;;Journée interpro du 14 décembre;CGT;;;;6.2;2018-12-14
2019-02-05;;Pacte ferroviaire;CGT;;;;8.7;2019-02-05
2019-12-09;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;17.1;2019-12-09
2019-12-11;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;15.5;2019-12-11
2019-12-13;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;13.3;2019-12-13
2019-12-16;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;11.2;2019-12-16
2019-12-20;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;9.5;2019-12-20
2019-12-25;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;20.6;2019-12-25
2019-12-27;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;8.5;2019-12-27
2020-01-05;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;12.6;2020-01-05
2020-01-07;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;6.6;2020-01-07
2020-01-16;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;10.1;2020-01-16
2020-01-18;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;8.1;2020-01-18
2020-02-13;;Réforme des retraites;CGT;;;;1.6;2020-02-13
2020-02-27;;Réforme des retraites;CGT;;;;0.8;2020-02-27
2020-09-17;;Mouvement de rentrée;CGT,SUD Rail;;;;7.0;2020-09-17
2022-05-02;;Salaires, pouvoir d'achat, Statut;SUD Rail,CFDT;;;;1.9;2022-05-02
2023-01-31;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;36.6;2023-01-31
2023-03-17;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;4.7;2023-03-17
2023-03-22;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;4.3;2023-03-22
2018-04-09;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;24.9;2018-04-09
2018-05-04;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;17.1;2018-05-04
2018-05-08;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;19.2;2018-05-08
2018-05-09;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;14.5;2018-05-09
2018-05-14;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;27.6;2018-05-14
2018-06-13;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;12.8;2018-06-13
2019-03-08;;Journée des droits de la femme;CGT,SUD Rail;;;;0.8;2019-03-08
2019-09-24;;Journée interpro du 24 septembre;CGT,SUD Rail;;;;20.2;2019-09-24
2019-12-06;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;31.7;2019-12-06
2019-12-08;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;40.4;2019-12-08
2019-12-12;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;17.3;2019-12-12
2019-12-15;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;27.4;2019-12-15
