date,opérateur,secteur_d'activité,région,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,consommation_journalière_(mwh_-_pcs_0°c),statut,movement_social
2019-07-05,GRTgaz,GRD/ELD,Bretagne,742.894502,732.580868,656.286821,574.95484,528.193098,493.999394,448.143784,426.609521,425.445188,416.016028,441.365608,448.075134,863.194403,1041.05257,1053.492279,1014.415104,1033.721563,1051.014826,926.965387,917.966042,848.408764,751.581879,725.054432,741.236428,17302.668463,Définitif,False
2019-07-06,GRTgaz,GRD/ELD,Île-de-France,1290.346979,1434.21103,1459.632113,1395.525109,1230.161049,1105.581621,989.862445,874.004822,814.156299,815.545011,970.271386,930.875856,1058.205272,1155.867182,1416.274598,1602.998069,1681.123462,1727.049878,1685.440066,1551.89299,1345.434445,1182.444144,1133.493404,1168.384279,30018.781509,Définitif,False
2019-07-06,GRTgaz,GRD/ELD,Centre-Val de Loire,254.236685,266.992748,273.796622,255.763409,227.636653,221.320878,186.842341,192.451352,175.909104,181.814851,192.878919,207.526793,293.57343,306.184715,339.936199,352.410577,351.247488,345.667453,325.150786,308.314429,274.728895,247.775374,234.641406,247.57994,6264.381047,Définitif,False
2019-07-06,GRTgaz,GRD/ELD,Hauts-de-France,985.374944,1070.242832,1028.402089,968.035865,888.967731,816.026949,738.45104,727.054333,721.301551,717.094292,719.341882,712.243439,939.502743,1015.998409,1110.821786,1209.149188,1230.481253,1214.422022,1186.23669,1114.591775,968.87598,895.664214,882.039857,903.606572,22763.927436,Définitif,False
2019-07-06,GRTgaz,GRD/ELD,Grand Est,874.979232,916.195628,940.334638,939.26551,829.475734,779.006828,734.896604,720.337591,660.187833,668.871975,705.108236,762.24551,918.016323,948.026548,1020.005851,1049.636343,1051.862563,1028.657378,1014.727637,920.863081,845.273558,801.748643,776.346113,807.290016,20713.359373,Définitif,False
2019-07-06,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,796.694094,885.357859,856.585219,819.176115,721.357435,664.987278,609.136247,568.677033,551.176603,554.461215,622.471215,634.243657,803.874316,871.173532,944.580019,1004.310358,986.188461,999.68943,949.247311,878.6137,786.096681,718.092119,681.774696,738.980334,18646.944927,Définitif,False
2019-07-07,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,324.7959,358.762527,377.537891,366.980214,341.293225,313.504228,301.267827,289.64051,282.902802,309.009331,401.165337,503.284052,286.232477,302.281414,327.212551,359.616186,391.441895,387.37416,373.682748,346.029652,320.521653,292.515597,298.908757,304.71166,8160.672594,Définitif,False
2019-07-08,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,512.134001,532.725175,532.750332,482.820909,436.06305,412.598081,400.088642,383.103689,383.162916,415.738578,476.239559,570.117406,638.580158,719.554783,666.0324,660.9279,684.793352,685.819685,621.375506,605.326082,553.84409,522.439903,475.971654,474.732739,12846.94059,Définitif,False
2019-07-08,GRTgaz,GRD/ELD,Hauts-de-France,1374.527544,1521.812529,1485.352133,1313.478682,1246.302512,1139.336854,1049.820038,1032.596447,1012.376448,1047.526147,1102.123895,1300.058717,1514.891883,1736.546665,1666.586631,1596.915181,1630.895392,1672.641882,1590.304489,1515.364769,1348.29487,1280.198611,1229.411546,1228.936715,32636.30058,Définitif,False
2019-07-08,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,1198.916435,1293.088643,1270.833184,1161.1577,1082.55021,996.695628,889.0026,852.152772,833.357265,870.734997,1005.571767,1225.691798,1467.073488,1683.082482,1637.063298,1549.795788,1560.645848,1587.257068,1425.275596,1370.245737,1264.3849,1156.64825,1108.726463,1136.594222,29626.546139,Définitif,False
2019-07-09,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,545.122028,581.967632,565.632628,544.548413,511.55134,463.336901,439.439005,429.121465,430.340442,455.355757,510.586212,580.995959,693.644718,755.41843,749.51948,717.575953,727.009059,707.895853,686.182272,648.10542,594.986578,535.516733,515.637801,504.54933,13894.039409,Définitif,False
2019-07-09,GRTgaz,GRD/ELD,Pays de la Loire,701.154809,721.19172,702.631383,671.708272,618.766648,598.21773,525.585568,518.691872,529.586272,553.683927,600.534179,691.363272,872.089114,1001.866926,994.523577,966.318581,965.835074,980.944201,888.336045,861.568236,796.185017,737.909248,693.045192,661.707077,17853.44394,Définitif,False
2019-07-09,GRTgaz,GRD/ELD,Bretagne,820.017034,820.756099,758.057794,674.589715,624.945646,567.148921,525.999239,519.111035,523.690907,534.750423,590.752578,687.681882,802.033118,1002.452458,1067.811013,1023.270739,1049.844422,1078.050136,954.721399,961.526793,950.590492,858.045638,798.118967,794.688912,18988.65536,Définitif,False
2019-07-09,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,1303.520128,1361.771745,1399.998133,1294.244556,1135.17275,1056.573422,977.508212,950.44802,940.741207,972.092638,1086.998879,1324.725799,1546.250133,1772.288593,1690.405862,1636.060183,1622.435677,1640.623228,1563.785539,1525.916181,1382.091883,1250.83017,1207.426148,1206.526981,31848.436067,Définitif,False
2019-07-09,GRTgaz,GRD/ELD,Provence-Alpes-Côte d'Azur,469.767232,533.011363,532.339327,506.47656,420.081885,354.277564,323.072461,305.666528,301.074771,295.170166,306.978806,374.288649,475.093775,615.198785,587.382339,581.449465,599.850884,616.827042,591.481521,593.068506,475.761315,429.806006,428.737618,429.140643,11146.003211,Définitif,False
2019-07-10,GRTgaz,GRD/ELD,Île-de-France,1542.73612,1789.093691,1823.841232,1677.713972,1429.196484,1235.617372,1060.327821,916.193062,897.207307,855.075789,1065.809145,1156.45275,1618.797488,2026.114092,2088.095865,1949.682725,1883.151883,1997.031299,1864.693231,1821.090387,1550.256957,1368.23588,1315.187301,1327.475139,36259.076992,Définitif,False
2019-07-10,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,546.770839,561.379893,566.727777,523.25691,485.903819,458.065746,427.323268,403.891724,430.992785,431.992328,498.890006,575.832745,684.511845,764.295096,779.246046,743.117294,747.889762,721.213131,681.480147,650.883911,598.616028,545.705406,521.42464,510.636512,13860.047658,Définitif,False
2019-07-10,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,1318.669338,1392.95784,1420.720076,1309.886708,1184.103652,1082.993778,1014.166209,981.90842,949.564559,939.607504,1045.854398,1301.974022,1660.597403,1879.66484,1812.136382,1741.54382,1679.36699,1701.266496,1571.786546,1550.042058,1375.123015,1238.521127,1210.425953,1222.995073,32585.876207,Définitif,False
2019-07-10,GRTgaz,GRD/ELD,Provence-Alpes-Côte d'Azur,474.407051,560.040919,555.589741,519.796488,420.308531,379.244412,323.334231,290.754166,290.285697,279.787636,299.398737,381.4071,502.944803,647.510477,655.813106,649.435396,625.189653,627.908844,574.248829,575.698398,537.959537,455.439039,428.183158,441.787951,11496.4739,Définitif,False
2019-07-11,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,1309.650799,1379.591424,1370.550005,1276.504131,1163.740457,1069.224599,996.155235,945.255704,928.214715,955.711126,1058.111763,1275.907471,1681.351358,1869.913683,1771.641301,1703.625461,1717.241772,1755.745481,1580.694012,1535.523019,1382.24516,1263.990301,1231.348874,1244.701688,32466.639539,Définitif,False
2019-07-12,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,509.241974,532.80092,502.513716,467.765579,447.945114,404.139046,380.764182,355.340588,343.093742,343.555748,373.90658,390.732976,679.449217,715.804029,702.701346,688.487254,664.77604,648.798396,611.296854,587.313143,524.227329,495.524269,471.416585,468.733164,12310.327791,Définitif,False
2019-07-12,GRTgaz,GRD/ELD,Bretagne,749.135182,735.98174,645.10924,578.281248,540.376452,482.970448,442.070626,428.936781,402.007567,421.815005,441.9596,429.854546,784.979544,938.97483,1005.82285,998.915437,1017.801879,989.390301,911.681821,904.459788,879.977088,788.097933,740.554515,741.387189,17000.54161,Définitif,False
2019-07-13,GRTgaz,GRD/ELD,Provence-Alpes-Côte d'Azur,373.246657,406.214939,396.398426,349.437284,314.73113,265.779321,229.625736,211.413226,203.188131,209.14037,217.618169,230.768289,289.041888,338.255457,378.810334,425.244546,443.50892,438.577561,441.082383,406.156444,338.899858,320.864241,307.239413,308.003112,7843.245835,Définitif,False
2019-07-14,GRTgaz,GRD/ELD,Île-de-France,1420.61447,1534.46771,1586.344302,1475.196441,1257.177002,1144.968232,1036.842735,958.629741,913.097703,903.019748,1138.228116,1300.017966,982.402914,1027.231114,1210.838782,1432.713826,1601.762872,1708.805407,1760.396871,1701.145335,1495.545729,1311.869434,1247.042361,1282.558411,31430.917222,Définitif,False
2019-07-14,GRTgaz,GRD/ELD,Normandie,619.907537,642.588754,635.415534,597.972397,560.274231,533.755578,533.786274,519.186797,520.427451,555.704731,628.16078,708.454272,544.333715,563.281909,608.79365,659.439291,678.13331,696.905897,693.175552,661.463361,613.26076,580.845723,581.793685,580.992261,14518.05345,Définitif,False
2019-07-14,GRTgaz,GRD/ELD,Hauts-de-France,986.976265,1060.454787,1024.952465,962.588601,810.126111,756.977715,774.14512,761.528139,757.565536,779.279299,885.414767,1123.751023,742.610171,804.134505,890.953058,1018.599753,1108.498382,1161.179389,1147.720183,1042.247649,926.465072,877.233992,834.212257,894.390859,22132.005098,Définitif,False
2019-07-14,GRTgaz,GRD/ELD,Pays de la Loire,372.266726,420.44266,408.526773,400.986129,342.927976,336.053387,334.073927,349.146689,346.29516,396.945563,511.659096,644.220114,275.237635,307.677608,357.698699,416.598783,429.937544,449.412136,428.849547,409.96511,372.265001,343.051141,322.09454,339.516294,9315.848238,Définitif,False
2019-07-14,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,850.035669,952.919385,949.190206,857.457827,741.006448,704.588516,685.603243,654.538388,658.413852,702.400337,876.83909,1118.413672,688.224195,726.822229,812.626487,899.988706,931.60446,946.080338,929.097016,845.728645,760.363024,711.369222,688.782715,755.718145,19447.811815,Définitif,False
2019-07-15,GRTgaz,GRD/ELD,Île-de-France,1517.26219,1736.444366,1837.948301,1694.154929,1490.365381,1298.155367,1122.794552,979.893426,944.041471,935.366341,1136.208528,1228.663707,1588.288009,1965.463555,1971.353398,1877.223927,1933.52766,1969.736197,1876.079819,1835.935784,1622.537408,1400.084825,1403.385214,1353.819633,36718.733988,Définitif,False
